chrom	length	bases	mean	min	max
NW_026510717.1	50199	40443	0.81	0	11
NW_026510718.1	62703	183748	2.93	0	65
NW_026510719.1	485246	1283755	2.65	0	164
NW_026510720.1	42646	118449	2.78	0	243
NW_026510721.1	49850	3624933	72.72	0	948
NW_026510722.1	24751	63267	2.56	0	17
NW_026510723.1	110643	136507	1.23	0	21
NW_026510724.1	31193	53051	1.70	0	19
NW_026510725.1	71298	103461	1.45	0	20
NW_026510726.1	33384	51525	1.54	0	51
NW_026510727.1	72037	307206	4.26	0	144
NW_026510728.1	40401	2137466	52.91	0	1372
NW_026510729.1	214444	273898	1.28	0	31
NW_026510730.1	45585	161370	3.54	0	36
NW_026510731.1	17533	18126	1.03	0	8
NW_026510732.1	56730	114690	2.02	0	57
NW_026510733.1	78315	114993	1.47	0	19
NW_026510734.1	33735	58111	1.72	0	24
NW_026510735.1	71459	180636	2.53	0	73
NW_026510736.1	92592	152498	1.65	0	23
NW_026510737.1	268446	812930	3.03	0	67
NW_026510738.1	49475	45859	0.93	0	23
NW_026510739.1	56187	518195	9.22	0	432
NW_026510740.1	71642	69304	0.97	0	13
NW_026510741.1	26156	37279	1.43	0	14
NW_026510742.1	21507	18549	0.86	0	9
NW_026510743.1	41998	105913	2.52	0	330
NW_026510744.1	85413	143015	1.67	0	15
NW_026510745.1	35456	112113	3.16	0	40
NW_026510746.1	88333	317930	3.60	0	212
NW_026510747.1	17651	27354	1.55	0	11
NW_026510748.1	20219	19419	0.96	0	9
NW_026510749.1	91981	137796	1.50	0	18
NW_026510750.1	34074	77163	2.26	0	14
NW_026510751.1	121950	151244	1.24	0	29
NW_026510752.1	62069	117125	1.89	0	73
NW_026510753.1	338283	5274266	15.59	0	299
NW_026510754.1	63301	120980	1.91	0	34
NW_026510755.1	21927	97046	4.43	0	44
NW_026510756.1	102448	182870	1.79	0	24
NW_026510757.1	37766	110193	2.92	0	44
NW_026510758.1	51622	43096	0.83	0	17
NW_026510759.1	51250	355091	6.93	0	54
NW_026510760.1	20154	57947	2.88	0	28
NW_026510761.1	36032	2588076	71.83	0	2512
NW_026510762.1	25358	95789	3.78	0	90
NW_026510763.1	103345	282345	2.73	0	47
NW_026510764.1	34030	7429711	218.33	0	1518
NW_026510765.1	364023	483082	1.33	0	29
NW_026510766.1	43765	165845	3.79	0	30
NW_026510767.1	50124	68169	1.36	0	19
NW_026510768.1	43159	83756	1.94	0	21
NW_026510769.1	40273	128333	3.19	0	259
NW_026510770.1	80349	110979	1.38	0	21
NW_026510771.1	72846	435861	5.98	0	125
NW_026510772.1	44512	100069	2.25	0	23
NW_026510773.1	113604	220499	1.94	0	32
NW_026510774.1	37099	821743	22.15	0	420
NW_026510775.1	21675	4735	0.22	0	5
NW_026510776.1	54002	261130	4.84	0	73
NW_026510777.1	182007	445407	2.45	0	66
NW_026510778.1	63407	288255	4.55	0	125
NW_026510779.1	37293	73387	1.97	0	22
NW_026510780.1	131247	800939	6.10	0	200
NW_026510781.1	35093	97422	2.78	0	20
NW_026510782.1	41822	50058	1.20	0	14
NW_026510783.1	25881	80339	3.10	0	32
NW_026510784.1	50140	82919	1.65	0	23
NW_026510785.1	49997	16894	0.34	0	16
NW_026510786.1	44386	64219	1.45	0	19
NW_026510787.1	21716	55556	2.56	0	33
NW_026510788.1	55940	209792	3.75	0	53
NW_026510789.1	28541	27789	0.97	0	19
NW_026510790.1	27851	124219	4.46	0	46
NW_026510791.1	112250	162286	1.45	0	21
NW_026510792.1	80109	112390	1.40	0	16
NW_026510793.1	20299	14087	0.69	0	13
NW_026510794.1	57368	125148	2.18	0	21
NW_026510795.1	47123	137922	2.93	0	41
NW_026510796.1	118293	1681856	14.22	0	5277
NW_026510797.1	69722	67371	0.97	0	27
NW_026510798.1	101420	115170	1.14	0	38
NW_026510799.1	94485	157285	1.66	0	31
NW_026510800.1	33763	78199	2.32	0	246
NW_026510801.1	411185	1197645	2.91	0	74
NW_026510802.1	37145	170453	4.59	0	58
NW_026510803.1	103406	238304	2.30	0	71
NW_026510804.1	203182	333061	1.64	0	124
NW_026510805.1	143330	362859	2.53	0	81
NW_026510806.1	132302	292139	2.21	0	81
NW_026510807.1	109733	209205	1.91	0	24
NW_026510808.1	85329	153469	1.80	0	47
NW_026510809.1	36061	24763	0.69	0	28
NW_026510810.1	49275	141699	2.88	0	34
NW_026510811.1	220737	691736	3.13	0	224
NW_026510812.1	40677	95079	2.34	0	33
NW_026510813.1	218191	715869	3.28	0	51
NW_026510814.1	48119	103874	2.16	0	41
NW_026510815.1	1817	2998	1.65	0	6
NW_026510816.1	56933	76568	1.34	0	21
NW_026510817.1	59499	105220	1.77	0	17
NW_026510818.1	28825	46448	1.61	0	23
NW_026510819.1	31699	28606	0.90	0	30
NW_026510820.1	44628	302877	6.79	0	575
NW_026510821.1	60995	64847	1.06	0	17
NW_026510822.1	17472	7007	0.40	0	7
NW_026510823.1	37530	38094	1.02	0	26
NW_026510824.1	83770	125988	1.50	0	32
NW_026510825.1	33872	107569	3.18	0	71
NW_026510826.1	473170	894079	1.89	0	65
NW_026510827.1	49998	120129	2.40	0	37
NW_026510828.1	387219	898328	2.32	0	56
NW_026510829.1	103277	140322	1.36	0	28
NW_026510830.1	56780	413572	7.28	0	62
NW_026510831.1	74761	91429	1.22	0	29
NW_026510832.1	36933	152962	4.14	0	134
NW_026510833.1	215571	424842	1.97	0	44
NW_026510834.1	37504	132307	3.53	0	22
NW_026510835.1	72945	100255	1.37	0	35
NW_026510836.1	27523	104113	3.78	0	73
NW_026510837.1	23609	36502	1.55	0	14
NW_026510838.1	44398	60637	1.37	0	14
NW_026510839.1	70392	87528	1.24	0	25
NW_026510840.1	50262	67456	1.34	0	23
NW_026510841.1	303728	555462	1.83	0	33
NW_026510842.1	38841	201594	5.19	0	188
NW_026510843.1	20111	201232	10.01	0	418
NW_026510844.1	36106	74509	2.06	0	21
NW_026510845.1	7565	15743	2.08	0	13
NW_026510846.1	37019	41507	1.12	0	15
NW_026510847.1	24258	22534	0.93	0	17
NW_026510848.1	318195	1034121	3.25	0	144
NW_026510849.1	35598	192546	5.41	0	83
NW_026510850.1	25509	93394	3.66	0	98
NW_026510851.1	22757	151320	6.65	0	100
NW_026510852.1	131609	260784	1.98	0	67
NW_026510853.1	196298	549693	2.80	0	140
NW_026510854.1	25391	18981	0.75	0	18
NW_026510855.1	182985	370480	2.02	0	37
NW_026510856.1	41116	152277	3.70	0	89
NW_026510857.1	29436	85883	2.92	0	22
NW_026510858.1	45292	140345	3.10	0	57
NW_026510859.1	43569	137566	3.16	0	46
NW_026510860.1	110515	362393	3.28	0	108
NW_026510861.1	50256	50199	1.00	0	16
NW_026510862.1	301617	461067	1.53	0	28
NW_026510863.1	39858	128484	3.22	0	39
NW_026510864.1	29463	48858	1.66	0	24
NW_026510865.1	63633	97729	1.54	0	22
NW_026510866.1	64127	214275	3.34	0	75
NW_026510867.1	47281	122246	2.59	0	37
NW_026510868.1	39634	67114	1.69	0	21
NW_026510869.1	58850	146482	2.49	0	33
NW_026510870.1	46758	100011	2.14	0	21
NW_026510871.1	29656	266739	8.99	0	151
NW_026510872.1	386608	2453487	6.35	0	193
NW_026510873.1	249894	553455	2.21	0	55
NW_026510874.1	44804	63724	1.42	0	19
NW_026510875.1	131269	290476	2.21	0	58
NW_026510876.1	44083	504951	11.45	0	275
NW_026510877.1	406329	458865	1.13	0	39
NW_026510878.1	37032	74507	2.01	0	33
NW_026510879.1	67116	337386	5.03	0	118
NW_026510880.1	90513	134950	1.49	0	16
NW_026510881.1	59610	96726	1.62	0	26
NW_026510882.1	71049	139974	1.97	0	21
NW_026510883.1	33755	61925	1.83	0	14
NW_026510884.1	137778	202232	1.47	0	43
NW_026510885.1	149092	192884	1.29	0	17
NW_026510886.1	136627	326152	2.39	0	36
NW_026510887.1	58259	616537	10.58	0	264
NW_026510888.1	43128	31643	0.73	0	28
NW_026510889.1	145947	407843	2.79	0	98
NW_026510890.1	31313	11686	0.37	0	7
NW_026510891.1	41575	90361	2.17	0	25
NW_026510892.1	152723	472158	3.09	0	54
NW_026510893.1	50145	49310	0.98	0	29
NW_026510894.1	168310	14262598	84.74	0	118506
NW_026510895.1	27596	137736	4.99	0	77
NW_026510896.1	53111	374972	7.06	0	95
NW_026510897.1	173336	214814	1.24	0	36
NW_026510898.1	32654	262120	8.03	0	159
NW_026510899.1	69884	129812	1.86	0	45
NW_026510900.1	57582	166382	2.89	0	70
NW_026510901.1	36769	45909	1.25	0	18
NW_026510902.1	13094	6192	0.47	0	6
NW_026510903.1	133911	311283	2.32	0	36
NW_026510904.1	116350	166722	1.43	0	23
NW_026510905.1	21065	28619	1.36	0	12
NW_026510906.1	46544	75499	1.62	0	22
NW_026510907.1	31559	37074	1.17	0	9
NW_026510908.1	42313	74380	1.76	0	14
NW_026510909.1	22942	49980	2.18	0	50
NW_026510910.1	35714	94596	2.65	0	25
NW_026510911.1	49998	93920	1.88	0	34
NW_026510912.1	12783	26786	2.10	0	16
NW_026510913.1	34412	7691	0.22	0	18
NW_026510914.1	20154	81001	4.02	0	63
NW_026510915.1	64384	98633	1.53	0	13
NW_026510916.1	26879	226795	8.44	0	172
NW_026510917.1	109331	147118	1.35	0	42
NW_026510918.1	342400	1032806	3.02	0	152
NW_026510919.1	257897	2559828	9.93	0	357
NW_026510920.1	27621	67937	2.46	0	46
NW_026510921.1	53543	75424	1.41	0	17
NW_026510922.1	186050	509202	2.74	0	98
NW_026510923.1	12461	37649	3.02	0	39
NW_026510924.1	23472	31451	1.34	0	22
NW_026510925.1	16129	12242	0.76	0	16
NW_026510926.1	74514	73075	0.98	0	11
NW_026510927.1	270733	861991	3.18	0	191
NW_026510928.1	125326	123147	0.98	0	104
NW_026510929.1	26297	61622	2.34	0	15
NW_026510930.1	20946	50542	2.41	0	32
NW_026510931.1	51241	276905	5.40	0	59
NW_026510932.1	185679	370247	1.99	0	54
NW_026510933.1	39759	62536	1.57	0	12
NW_026510934.1	86851	255189	2.94	0	34
NW_026510935.1	6533	14917	2.28	0	17
NW_026510936.1	536005	2882707	5.38	0	573
NW_026510937.1	114872	150757	1.31	0	50
NW_026510938.1	303822	337688	1.11	0	69
NW_026510939.1	38855	73836	1.90	0	30
NW_026510940.1	190818	519470	2.72	0	32
NW_026510941.1	103143	159892	1.55	0	40
NW_026510942.1	75175	157711	2.10	0	42
NW_026510943.1	52073	108958	2.09	0	35
NW_026510944.1	100772	213474	2.12	0	56
NW_026510945.1	22836	42167	1.85	0	11
NW_026510946.1	65001	109505	1.68	0	30
NW_026510947.1	34851	44786	1.29	0	23
NW_026510948.1	50437	69602	1.38	0	23
NW_026510949.1	79124	168644	2.13	0	19
NW_026510950.1	153881	1127451	7.33	0	938
NW_026510951.1	30430	111702	3.67	0	63
NW_026510952.1	139651	104781	0.75	0	8
NW_026510953.1	35667	86529	2.43	0	49
NW_026510954.1	10554	7211	0.68	0	10
NW_026510955.1	29302	11766	0.40	0	9
NW_026510956.1	49074	948619	19.33	0	391
NW_026510957.1	30070	83987	2.79	0	31
NW_026510958.1	85435	198264	2.32	0	72
NW_026510959.1	89752	153829	1.71	0	32
NW_026510960.1	45048	447189	9.93	0	152
NW_026510961.1	208153	627854	3.02	0	242
NW_026510962.1	97250	119368	1.23	0	27
NW_026510963.1	50008	80224	1.60	0	93
NW_026510964.1	23464	18898	0.81	0	11
NW_026510965.1	286038	551140	1.93	0	58
NW_026510966.1	33805	47221	1.40	0	18
NW_026510967.1	69167	33340	0.48	0	12
NW_026510968.1	52112	64554	1.24	0	24
NW_026510969.1	114126	194112	1.70	0	69
NW_026510970.1	25728	49823	1.94	0	22
NW_026510971.1	24083	23919	0.99	0	14
NW_026510972.1	312848	496665	1.59	0	47
NW_026510973.1	96591	154377	1.60	0	86
NW_026510974.1	79022	165376	2.09	0	24
NW_026510975.1	229305	390344	1.70	0	33
NW_026510976.1	133982	659374	4.92	0	39
NW_026510977.1	51742	80414	1.55	0	33
NW_026510978.1	52939	66792	1.26	0	34
NW_026510979.1	138391	291001	2.10	0	63
NW_026510980.1	25894	61352	2.37	0	37
NW_026510981.1	494628	1003728	2.03	0	78
NW_026510982.1	38670	65679	1.70	0	12
NW_026510983.1	52257	78490	1.50	0	40
NW_026510984.1	92690	319539	3.45	0	70
NW_026510985.1	91036	136950	1.50	0	38
NW_026510986.1	86126	142129	1.65	0	28
NW_026510987.1	81584	196316	2.41	0	35
NW_026510988.1	74531	45206	0.61	0	35
NW_026510989.1	53888	303450	5.63	0	135
NW_026510990.1	53752	73300	1.36	0	34
NW_026510991.1	275815	444328	1.61	0	30
NW_026510992.1	59120	103257	1.75	0	72
NW_026510993.1	34081	32733	0.96	0	11
NW_026510994.1	50486	72622	1.44	0	10
NW_026510995.1	32079	58991	1.84	0	72
NW_026510996.1	10229	14112	1.38	0	22
NW_026510997.1	139942	224044	1.60	0	67
NW_026510998.1	32752	41354	1.26	0	31
NW_026510999.1	36546	36192	0.99	0	79
NW_026511000.1	144606	344102	2.38	0	55
NW_026511001.1	69612	227295	3.27	0	74
NW_026511002.1	44358	65031	1.47	0	14
NW_026511003.1	72776	229997	3.16	0	107
NW_026511004.1	36611	165779	4.53	0	160
NW_026511005.1	130673	264797	2.03	0	30
NW_026511006.1	20977	18458	0.88	0	11
NW_026511007.1	70174	135802	1.94	0	19
NW_026511008.1	124447	205295	1.65	0	39
NW_026511009.1	113200	326225	2.88	0	26
NW_026511010.1	23370	88091	3.77	0	24
NW_026511011.1	31592	66768	2.11	0	25
NW_026511012.1	251755	409799	1.63	0	29
NW_026511013.1	299885	575554	1.92	0	64
NW_026511014.1	94685	128522	1.36	0	14
NW_026511015.1	68894	106468	1.55	0	39
NW_026511016.1	21428	92552	4.32	0	61
NW_026511017.1	7349	24439	3.33	0	17
NW_026511018.1	100738	192495	1.91	0	115
NW_026511019.1	161866	373248	2.31	0	83
NW_026511020.1	58293	127186	2.18	0	67
NW_026511021.1	32798	219589	6.70	0	87
NW_026511022.1	44541	286802	6.44	0	62
NW_026511023.1	57060	37674	0.66	0	12
NW_026511024.1	21561	334978	15.54	0	56
NW_026511025.1	262684	322606	1.23	0	26
NW_026511026.1	43922	118350	2.69	0	21
NW_026511027.1	42649	50598	1.19	0	10
NW_026511028.1	41900	30754	0.73	0	11
NW_026511029.1	38259	74600	1.95	0	13
NW_026511030.1	61841	52433	0.85	0	18
NW_026511031.1	35582	64694	1.82	0	39
NW_026511032.1	121518	448379	3.69	0	35
NW_026511033.1	51978	65038	1.25	0	22
NW_026511034.1	23305	23835	1.02	0	13
NW_026511035.1	29326	82554	2.82	0	38
NW_026511036.1	195493	237510	1.21	0	17
NW_026511037.1	32405	134506	4.15	0	45
NW_026511038.1	31690	38823	1.23	0	11
NW_026511039.1	343202	1172618	3.42	0	144
NW_026511040.1	234371	805772	3.44	0	114
NW_026511041.1	270045	1285835	4.76	0	363
NW_026511042.1	4519	14734	3.26	0	15
NW_026511043.1	14428	45306	3.14	0	22
NW_026511044.1	106949	329907	3.08	0	370
NW_026511045.1	55593	37241	0.67	0	14
NW_026511046.1	27758	739488	26.64	0	389
NW_026511047.1	67921	248672	3.66	0	79
NW_026511048.1	55740	173061	3.10	0	42
NW_026511049.1	50007	69560	1.39	0	25
NW_026511050.1	22969	48601	2.12	0	12
NW_026511051.1	318595	551990	1.73	0	59
NW_026511052.1	419461	844587	2.01	0	60
NW_026511053.1	55399	432251	7.80	0	98
NW_026511054.1	192105	704173	3.67	0	195
NW_026511055.1	34579	282500	8.17	0	481
NW_026511056.1	79436	204698	2.58	0	41
NW_026511057.1	179973	296052	1.64	0	53
NW_026511058.1	21564	38136	1.77	0	11
NW_026511059.1	22032	59261	2.69	0	29
NW_026511060.1	223352	438451	1.96	0	47
NW_026511061.1	54386	337654	6.21	0	72
NW_026511062.1	27511	245275	8.92	0	151
NW_026511063.1	98851	163749	1.66	0	33
NW_026511064.1	61883	85580	1.38	0	46
NW_026511065.1	337158	2709339	8.04	0	297
NW_026511066.1	58892	966916	16.42	0	176
NW_026511067.1	41919	94040	2.24	0	25
NW_026511068.1	33673	25679	0.76	0	17
NW_026511069.1	47667	61993	1.30	0	14
NW_026511070.1	23903	1063719	44.50	0	662
NW_026511071.1	44283	95723	2.16	0	43
NW_026511072.1	60622	95661	1.58	0	17
NW_026511073.1	156071	272473	1.75	0	45
NW_026511074.1	62439	916785	14.68	0	845
NW_026511075.1	84339	225432	2.67	0	49
NW_026511076.1	26384	49090	1.86	0	21
NW_026511077.1	34645	33830	0.98	0	9
NW_026511078.1	38188	50247	1.32	0	15
NW_026511079.1	109361	1682495	15.38	0	351
NW_026511080.1	35176	121527	3.45	0	36
NW_026511081.1	22439	44036	1.96	0	12
NW_026511082.1	57410	353188	6.15	0	145
NW_026511083.1	250617	422248	1.68	0	75
NW_026511084.1	149114	231389	1.55	0	44
NW_026511085.1	242584	1108637	4.57	0	93
NW_026511086.1	38001	183602	4.83	0	49
NW_026511087.1	31644	121909	3.85	0	48
NW_026511088.1	117634	280678	2.39	0	35
NW_026511089.1	43609	66453	1.52	0	25
NW_026511090.1	49570	111472	2.25	0	30
NW_026511091.1	240041	360161	1.50	0	76
NW_026511092.1	76359	158740	2.08	0	25
NW_026511093.1	25728	166544	6.47	0	85
NW_026511094.1	86668	127376	1.47	0	25
NW_026511095.1	48571	117769	2.42	0	24
NW_026511096.1	21156	42710	2.02	0	15
NW_026511097.1	370870	785780	2.12	0	180
NW_026511098.1	46340	104908	2.26	0	20
NW_026511099.1	62147	240211	3.87	0	85
NW_026511100.1	317244	1487080	4.69	0	328
NW_026511101.1	2706	35913	13.27	0	74
NW_026511102.1	34013	49715	1.46	0	17
NW_026511103.1	156548	323013	2.06	0	32
NW_026511104.1	38552	46261	1.20	0	20
NW_026511105.1	474804	1380583	2.91	0	82
NW_026511106.1	89200	194765	2.18	0	57
NW_026511107.1	43811	80598	1.84	0	16
NW_026511108.1	78539	181931	2.32	0	50
NW_026511109.1	31504	44381	1.41	0	20
NW_026511110.1	195476	515809	2.64	0	139
NW_026511111.1	43215	100496	2.33	0	26
NW_026511112.1	33141	94190	2.84	0	21
NW_026511113.1	45846	71886	1.57	0	18
NW_026511114.1	39743	173730	4.37	0	245
NW_026511115.1	49342	280130	5.68	0	74
NW_026511116.1	49997	50389	1.01	0	17
NW_026511117.1	49838	39419	0.79	0	12
NW_026511118.1	16311	31690	1.94	0	11
NW_026511119.1	104457	145644	1.39	0	22
NW_026511120.1	429902	1092510	2.54	0	139
NW_026511121.1	37929	437133	11.53	0	364
NW_026511122.1	58864	429257	7.29	0	1192
NW_026511123.1	31115	417924	13.43	0	175
NW_026511124.1	153317	738561	4.82	0	222
NW_026511125.1	52633	228608	4.34	0	61
NW_026511126.1	28305	57783	2.04	0	35
NW_026511127.1	59567	2361484	39.64	0	1299
NW_026511128.1	38636	43804	1.13	0	59
NW_026511129.1	35568	111032	3.12	0	43
NW_026511130.1	134979	213698	1.58	0	24
NW_026511131.1	44298	164678	3.72	0	255
NW_026511132.1	23655	58760	2.48	0	44
NW_026511133.1	133670	417418	3.12	0	98
NW_026511134.1	45660	76589	1.68	0	31
NW_026511135.1	86432	75703	0.88	0	21
NW_026511136.1	94910	142292	1.50	0	42
NW_026511137.1	45483	62617	1.38	0	17
NW_026511138.1	49996	66653	1.33	0	23
NW_026511139.1	41629	168170	4.04	0	41
NW_026511140.1	87318	182975	2.10	0	78
NW_026511141.1	63808	188065	2.95	0	37
NW_026511142.1	81945	216521	2.64	0	36
NW_026511143.1	104339	233842	2.24	0	68
NW_026511144.1	357742	1511747	4.23	0	107
NW_026511145.1	50885	223487	4.39	0	90
NW_026511146.1	182506	392185	2.15	0	41
NW_026511147.1	48367	92497	1.91	0	41
NW_026511148.1	155783	424630	2.73	0	46
NW_026511149.1	139113	283376	2.04	0	30
NW_026511150.1	123758	213091	1.72	0	33
NW_026511151.1	8466	28972	3.42	0	12
NW_026511152.1	109659	367928	3.36	0	239
NW_026511153.1	57577	135680	2.36	0	41
NW_026511154.1	24206	99933	4.13	0	48
NW_026511155.1	35755	30351	0.85	0	9
NW_026511156.1	52288	249151	4.76	0	175
NW_026511157.1	31380	165928	5.29	0	31
NW_026511158.1	82465	397887	4.82	0	281
NW_026511159.1	52141	31060	0.60	0	14
NW_026511160.1	36718	86258	2.35	0	35
NW_026511161.1	64998	100513	1.55	0	291
NW_026511162.1	36653	102762	2.80	0	57
NW_026511163.1	40281	65258	1.62	0	24
NW_026511164.1	28605	126412	4.42	0	54
NW_026511165.1	139047	333735	2.40	0	84
NW_026511166.1	39585	83284	2.10	0	128
NW_026511167.1	42327	134202	3.17	0	14
NW_026511168.1	50421	110749	2.20	0	454
NW_026511169.1	47145	90567	1.92	0	24
NW_026511170.1	20211	151462	7.49	0	94
NW_026511171.1	72755	95911	1.32	0	20
NW_026511172.1	122516	378820	3.09	0	99
NW_026511173.1	53800	265923	4.94	0	57
NW_026511174.1	27583	24517	0.89	0	29
NW_026511175.1	136895	214227	1.56	0	45
NW_026511176.1	57008	139224	2.44	0	50
NW_026511177.1	42695	104047	2.44	0	31
NW_026511178.1	55007	74879	1.36	0	30
NW_026511179.1	25877	36612	1.41	0	11
NW_026511180.1	26134	29863	1.14	0	9
NW_026511181.1	112352	161278	1.44	0	20
NW_026511182.1	73286	85363	1.16	0	29
NW_026511183.1	42560	67773	1.59	0	18
NW_026511184.1	40652	125829	3.10	0	112
NW_026511185.1	52437	282486	5.39	0	264
NW_026511186.1	63108	64429	1.02	0	34
NW_026511187.1	52206	40235	0.77	0	9
NW_026511188.1	25905	117066	4.52	0	163
NW_026511189.1	58780	165165	2.81	0	16
NW_026511190.1	46321	110997	2.40	0	139
NW_026511191.1	22507	343235	15.25	0	1771
NW_026511192.1	61134	87261	1.43	0	19
NW_026511193.1	152987	234338	1.53	0	51
NW_026511194.1	114232	196491	1.72	0	26
NW_026511195.1	71956	252271	3.51	0	67
NW_026511196.1	44446	59954	1.35	0	12
NW_026511197.1	12958	14949	1.15	0	13
NW_026511198.1	132177	455913	3.45	0	139
NW_026511199.1	41175	73812	1.79	0	18
NW_026511200.1	222825	422728	1.90	0	36
NW_026511201.1	32960	43555	1.32	0	16
NW_026511202.1	48126	199527	4.15	0	81
NW_026511203.1	50570	45305	0.90	0	24
NW_026511204.1	453183	774882	1.71	0	37
NW_026511205.1	38990	94053	2.41	0	37
NW_026511206.1	36009	169385	4.70	0	40
NW_026511207.1	56999	46469	0.82	0	15
NW_026511208.1	198052	271824	1.37	0	27
NW_026511209.1	2741	6545	2.39	0	16
NW_026511210.1	327986	526536	1.61	0	49
NW_026511211.1	203366	2516919	12.38	0	538
NW_026511212.1	46685	99702	2.14	0	17
NW_026511213.1	150648	304738	2.02	0	27
NW_026511214.1	13195	11253	0.85	0	7
NW_026511215.1	42740	28367	0.66	0	17
NW_026511216.1	43993	178227	4.05	0	45
NW_026511217.1	20567	138227	6.72	0	448
NW_026511218.1	70728	94133	1.33	0	22
NW_026511219.1	59503	134139	2.25	0	39
NW_026511220.1	139956	321230	2.30	0	297
NW_026511221.1	43228	108741	2.52	0	36
NW_026511222.1	115773	106972	0.92	0	18
NW_026511223.1	63457	42780	0.67	0	14
NW_026511224.1	177726	267848	1.51	0	105
NW_026511225.1	113218	207235	1.83	0	21
NW_026511226.1	70966	122131	1.72	0	21
NW_026511227.1	139217	414790	2.98	0	40
NW_026511228.1	108302	138238	1.28	0	91
NW_026511229.1	160348	323337	2.02	0	42
NW_026511230.1	58610	159811	2.73	0	42
NW_026511231.1	35542	59079	1.66	0	17
NW_026511232.1	33909	84876	2.50	0	23
NW_026511233.1	38306	466532	12.18	0	419
NW_026511234.1	137710	200341	1.45	0	35
NW_026511235.1	50345	182373	3.62	0	32
NW_026511236.1	25271	44946	1.78	0	17
NW_026511237.1	23706	48291	2.04	0	16
NW_026511238.1	26800	42474	1.58	0	16
NW_026511239.1	25162	45675	1.82	0	17
NW_026511240.1	35197	78862	2.24	0	20
NW_026511241.1	157465	219012	1.39	0	41
NW_026511242.1	56419	105805	1.88	0	56
NW_026511243.1	233658	579870	2.48	0	73
NW_026511244.1	26909	186045	6.91	0	59
NW_026511245.1	49965	71484	1.43	0	16
NW_026511246.1	36267	55635	1.53	0	18
NW_026511247.1	122662	412819	3.37	0	48
NW_026511248.1	596214	1520295	2.55	0	51
NW_026511249.1	161382	769075	4.77	0	150
NW_026511250.1	4124	8598	2.08	0	18
NW_026511251.1	146719	248249	1.69	0	24
NW_026511252.1	26797	54402	2.03	0	38
NW_026511253.1	96701	129635	1.34	0	26
NW_026511254.1	45423	111792	2.46	0	36
NW_026511255.1	279562	645733	2.31	0	63
NW_026511256.1	48554	85112	1.75	0	15
NW_026511257.1	20414	31641	1.55	0	12
NW_026511258.1	372806	2394135	6.42	0	153
NW_026511259.1	30600	106019	3.46	0	41
NW_026511260.1	74294	119026	1.60	0	26
NW_026511261.1	26589	57350	2.16	0	13
NW_026511262.1	52886	96147	1.82	0	22
NW_026511263.1	41121	93297	2.27	0	30
NW_026511264.1	57231	127587	2.23	0	19
NW_026511265.1	44855	92730	2.07	0	34
NW_026511266.1	506897	4025433	7.94	0	612
NW_026511267.1	52884	55044	1.04	0	16
NW_026511268.1	355071	465169	1.31	0	41
NW_026511269.1	92883	121987	1.31	0	37
